   responsable_chemical_sustances                             recs_place
   responsable_chemical_sustances                                chsr_id
   responsable_chemical_sustances                                mach_id
   responsable_chemical_sustances                         recs_substance
               technical_analysis                                tean_id
               technical_analysis                                retr_id
               technical_analysis                                losu_id
               technical_analysis                                geca_id
               technical_analysis             tean_findings_requeriments
               technical_analysis tean_findings_requeriments_description
               technical_analysis                        tean_compliance
               technical_analysis                            tean_status
               technical_analysis                     tean_creation_date
               technical_analysis                      tean_creator_user
               technical_analysis                       tean_date_update
               technical_analysis                       tean_user_update
               technical_analysis                    tean_observation_bd
               technical_analysis                                caty_id
               technical_analysis                           tean_enabled
               technical_analysis                       tean_observation
                             temp                                 cedula
                             temp                               proyecto
         vw_proyectos_declaracion                                prco_id
         vw_proyectos_declaracion                               prco_cua
         vw_proyectos_declaracion                                chsu_id
         vw_proyectos_declaracion                                mach_id
         vw_proyectos_declaracion                       dach_description
         vw_proyectos_declaracion          dach_type_chemistry_substance
         vw_proyectos_declaracion                          dach_cas_code
         vw_proyectos_declaracion           prco_project_completion_date
         vw_proyectos_declaracion                                chsr_id
         vw_proyectos_declaracion                       chsr_valid_since
         vw_proyectos_declaracion                       chsr_valid_until
         vw_proyectos_declaracion                                chsd_id
         vw_proyectos_declaracion                              chsd_year
         vw_proyectos_declaracion                             chsd_month
         vw_proyectos_declaracion                     estado_declaración
    vw_registro_sustancia_quimica                                 id_row
    vw_registro_sustancia_quimica                                 id_oce
    vw_registro_sustancia_quimica                                nom_oce
    vw_registro_sustancia_quimica                                cod_rsq
    vw_registro_sustancia_quimica                  cod_sustancia_quimica
    vw_registro_sustancia_quimica                  nom_sustancia_quimica
    vw_registro_sustancia_quimica             cod_subpartida_arancelaria
    vw_registro_sustancia_quimica                        cupo_disponible
vw_registro_sustancia_quimica_bdd                                 id_row
vw_registro_sustancia_quimica_bdd                                 id_oce
vw_registro_sustancia_quimica_bdd                                nom_oce
vw_registro_sustancia_quimica_bdd                                cod_rsq
vw_registro_sustancia_quimica_bdd                  cod_sustancia_quimica
vw_registro_sustancia_quimica_bdd                  nom_sustancia_quimica
vw_registro_sustancia_quimica_bdd             cod_subpartida_arancelaria
vw_registro_sustancia_quimica_bdd                        cupo_disponible
